"sensorIndex","time_stamp","humidity","temperature","pm2.5_alt","pm2.5_alt_a","pm2.5_alt_b","pm2.5_cf_1_a","pm2.5_cf_1_b","sensor_index"
124649,"2023-08-01 00:00:00",28,93,1.4,1.4,1.4,0.4,0.4,124649
124649,"2023-08-01 00:10:00",29,92,1.5,1.6,1.5,0.6,1,124649
124649,"2023-08-01 00:20:00",30,90,1.5,1.6,1.4,0.7,1,124649
124649,"2023-08-01 00:30:00",31,88,1.5,1.5,1.6,0.5,0.9,124649
124649,"2023-08-01 00:40:00",33,87,1.5,1.5,1.6,0.8,1.1,124649
124649,"2023-08-01 00:50:00",33,86,1.5,1.5,1.6,0.7,1.1,124649
124649,"2023-08-01 01:00:00",34,85,1.5,1.5,1.6,0.8,1.3,124649
124649,"2023-08-01 01:10:00",35,85,1.6,1.6,1.7,1.2,1.6,124649
124649,"2023-08-01 01:20:00",36,85,1.6,1.5,1.6,1,1.1,124649
124649,"2023-08-01 01:30:00",37,84,1.6,1.6,1.7,0.8,1.3,124649
124649,"2023-08-01 01:40:00",37,84,2.1,1.9,2.2,2.1,2.4,124649
124649,"2023-08-01 01:50:00",37,84,2.2,2.1,2.3,2,2.8,124649
124649,"2023-08-01 02:00:00",38,84,2,2,2.1,2.6,2.6,124649
124649,"2023-08-01 02:10:00",39,83,2.9,2.8,3.1,3.7,3.8,124649
124649,"2023-08-01 02:20:00",40,83,4.3,4.2,4.5,5.4,6.2,124649
124649,"2023-08-01 02:30:00",40,83,5.2,4.8,5.5,6.7,7.4,124649
124649,"2023-08-01 02:40:00",41,82,3.8,3.5,4.1,5.3,5,124649
124649,"2023-08-01 02:50:00",42,82,2.3,2,2.6,2.6,3.3,124649
124649,"2023-08-01 03:00:00",42,82,2.5,2.4,2.6,3,3,124649
124649,"2023-08-01 03:10:00",42,82,2.4,2.2,2.5,2.8,3.1,124649
124649,"2023-08-01 03:20:00",41,81,1.8,1.8,1.9,1.4,2.2,124649
124649,"2023-08-01 03:30:00",41,82,1.8,1.8,1.8,2.6,2.5,124649
124649,"2023-08-01 03:40:00",41,82,2.1,2,2.2,3,2.9,124649
124649,"2023-08-01 03:50:00",41,81,4.3,3.9,4.7,5,5.6,124649
124649,"2023-08-01 04:00:00",41,81,3.4,3.1,3.7,4.1,4.8,124649
124649,"2023-08-01 04:10:00",41,81,4.6,4.4,4.7,5.8,6.8,124649
124649,"2023-08-01 04:20:00",41,81,4.9,4.6,5.3,7,7.3,124649
124649,"2023-08-01 04:30:00",41,81,6.1,5.8,6.4,8.3,8.8,124649
124649,"2023-08-01 04:40:00",42,81,7.4,7.1,7.7,10.7,12.2,124649
124649,"2023-08-01 04:50:00",42,81,7.4,7.2,7.7,12.2,12.3,124649
124649,"2023-08-01 05:00:00",42,80,4.8,4.5,5.1,6.5,6.9,124649
124649,"2023-08-01 05:10:00",43,80,4.3,4.1,4.6,5.2,6,124649
124649,"2023-08-01 05:20:00",43,80,4.3,4.1,4.4,5.4,5.8,124649
124649,"2023-08-01 05:30:00",43,79,4.4,4.1,4.7,5.4,6.1,124649
124649,"2023-08-01 05:40:00",44,79,4.8,4.7,4.9,6.2,6.4,124649
124649,"2023-08-01 05:50:00",44,79,4.6,4.4,4.9,5.7,6.1,124649
124649,"2023-08-01 06:00:00",45,79,4.8,4.6,5,6.6,6.7,124649
124649,"2023-08-01 06:10:00",45,78,5.1,4.8,5.5,6.6,7.4,124649
124649,"2023-08-01 06:20:00",45,79,5.2,5,5.4,7.1,7.5,124649
124649,"2023-08-01 06:30:00",45,79,5.8,5.5,6.1,8,8,124649
124649,"2023-08-01 06:40:00",45,78,6,5.6,6.3,7.5,8.6,124649
124649,"2023-08-01 06:50:00",46,78,6,5.8,6.3,7.9,8.2,124649
